date,state,device,type,message,illuminance,linkquality,occupancy,temperature,description,humidity,winddirection,precipitation,pressure,windspeed,battery,voltage,contact
2019-02-12 23:19:47,,,,,0.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:19:47,,,,,0.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:19:52,,,,,3.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:19:52,,,,,3.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:19:58,,,,,4.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:19:58,,,,,4.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:20:18,,,,,8.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:20:24,,,,,3.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:20:30,,,,,3.0,5.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:20:30,,,,,3.0,2.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:21:47,,,,,8.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:21:48,,,,,8.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:21:53,,,,,26.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:21:53,,,,,26.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:00,,,,,28.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:00,,,,,28.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:11,,,,,36.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:11,,,,,36.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:15,,,,,41.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:15,,,,,41.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:25,,,,,50.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:25,,,,,50.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:31,,,,,58.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:39,,,,,69.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:39,,,,,69.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:44,,,,,71.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:44,,,,,71.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:50,,,,,76.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:22:50,,,,,76.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:23:25,,,,,91.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:23:25,,,,,91.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:23:31,,,,,90.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:23:31,,,,,90.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:23:37,,,,,90.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:23:49,,,,,89.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:24:09,,,,,90.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:25:19,,,,,90.0,0.0,False,,,,,,,,100.0,3055.0,
2019-02-12 23:25:36,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:25:47,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:25:52,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:25:52,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:29:06,,,,,90.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:30:16,,,,,98.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:30:16,,,,,98.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:30:22,,,,,99.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:30:22,,,,,99.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:30:27,,,,,96.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:30:27,,,,,96.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:33:12,online,02019D93DB3F,,,,,,,,,,,,,,,
2019-02-12 23:33:12,,,,,90.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:33:23,,,,,94.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:33:23,,,,,94.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:33:29,,,,,98.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:33:35,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:33:35,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:33:40,,,,,99.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:33:53,,,,,99.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:33:53,,,,,99.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:34:24,,,,,98.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:35:47,,,,,99.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:35:47,,,,,99.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:35:53,,,,,96.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:35:53,,,,,96.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:35:58,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:35:58,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:38:04,online,02019D93DB3F,,,,,,,,,,,,,,,
2019-02-12 23:38:04,,,,,90.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:38:37,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:38:38,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:38:43,,,,,91.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:38:43,,,,,91.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:39:11,,,,,91.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:39:31,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:39:31,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:39:36,,,,,93.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:39:36,,,,,93.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:40:00,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:40:00,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:40:06,,,,,92.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:40:06,,,,,92.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:40:12,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:40:12,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:40:17,,,,,84.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:40:24,,,,,96.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:40:25,,,,,96.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:44:19,,,,,90.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:44:20,,,,,96.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:44:20,,,,,96.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:46:13,online,02019D93DB3F,,,,,,,,,,,,,,,
2019-02-12 23:46:13,,,,,90.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:46:50,,,,,99.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:46:50,,,,,99.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:46:56,,,,,98.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:46:56,,,,,98.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:01,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:47:01,,,,,84.0,7.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:01,,,,,84.0,7.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:04,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:47:07,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:47:10,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:47:11,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:11,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
