date,state,device,type,message,temperature,linkquality,humidity,pressure,contact,illuminance,occupancy,battery,voltage,description,winddirection,windspeed,precipitation
2019-07-10 09:47:17,,,,,,84.0,,,,116.0,True,100.0,3055.0,,,,
2019-07-10 09:47:32,,,,,28.04,36.0,66.86,1012.0,,,,,,,,,
2019-07-10 09:47:32,,,,,28.04,34.0,73.58,1012.0,,,,,,,,,
2019-07-10 09:47:32,,,,,28.04,36.0,73.58,1012.0,,,,,,,,,
2019-07-10 09:47:42,,,,,28.42,92.0,73.58,1012.0,,,,,,,,,
2019-07-10 09:47:42,,,,,28.42,84.0,62.82,1012.0,,,,,,,,,
2019-07-10 09:47:42,,,,,28.42,84.0,62.82,1012.0,,,,,,,,,
2019-07-10 09:48:20,offline,status,,,,,,,,,,,,,,,
2019-07-13 17:43:46,online,status,,,,,,,,,,,,,,,
2019-07-13 18:01:05,,,,,22.9,,75.0,1015.1,,,,,,Aveiro (Universidade) @ 2019-07-13T17:00,Este,14.0,0.0
2019-07-13 18:45:47,online,status,,,,,,,,,,,,,,,
2019-07-13 19:01:04,,,,,21.9,,80.0,1015.5,,,,,,Aveiro (Universidade) @ 2019-07-13T18:00,Este,13.7,0.0
2019-07-13 19:34:47,,,,,26.72,28.0,74.7,1011.2,,,,80.0,2965.0,,,,
2019-07-13 19:34:51,,,,,26.79,28.0,74.7,1011.2,,,,80.0,2965.0,,,,
2019-07-13 19:34:51,,,,,26.79,28.0,72.3,1011.2,,,,80.0,2965.0,,,,
2019-07-13 19:34:54,,,,,26.75,28.0,72.3,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:34:55,,,,,26.75,28.0,70.77,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:34:55,,,,,26.75,28.0,70.77,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:34:58,,,,,26.72,28.0,70.77,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:34:58,,,,,26.72,28.0,69.53,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:34:58,,,,,26.72,28.0,69.53,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:40:45,,,,,,39.0,,,,6.0,True,100.0,3015.0,,,,
2019-07-13 19:40:47,,,,,,36.0,,,,6.0,True,100.0,3015.0,,,,
2019-07-13 19:40:47,,,,,,34.0,,,,6.0,True,100.0,3015.0,,,,
2019-07-13 19:40:52,,,,,,0.0,,,,91.0,True,100.0,3015.0,,,,
2019-07-13 19:40:52,,,,,,0.0,,,,91.0,True,100.0,3015.0,,,,
2019-07-13 19:40:57,,,,,,0.0,,,,34.0,True,100.0,3015.0,,,,
2019-07-13 19:40:57,,,,,,0.0,,,,34.0,True,100.0,3015.0,,,,
2019-07-13 19:41:02,,,,,,0.0,,,,33.0,True,100.0,3015.0,,,,
2019-07-13 19:41:03,,,,,,0.0,,,,33.0,True,100.0,3015.0,,,,
2019-07-13 19:41:09,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:41:09,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:41:15,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:41:15,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:41:21,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:41:23,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:41:25,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:41:27,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:41:28,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:41:28,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:41:30,,,,,26.22,31.0,69.53,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:41:30,,,,,26.22,31.0,67.96,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:41:30,,,,,26.22,31.0,67.96,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:41:34,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:41:36,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:41:38,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:41:39,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:41:39,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:41:45,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:41:47,,,,,,0.0,,,,71.0,True,100.0,3015.0,,,,
2019-07-13 19:41:49,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:41:52,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:41:54,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:41:56,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:41:58,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:42:00,,,,,,42.0,,,False,,,100.0,3015.0,,,,
2019-07-13 19:42:00,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:42:02,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:42:04,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:42:06,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:42:06,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:42:06,,,,,,0.0,,,,70.0,True,100.0,3015.0,,,,
2019-07-13 19:42:13,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:15,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:42:17,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:19,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:42:21,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:42:23,,,,,,2.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:25,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:27,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:29,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:34,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:35,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:35,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:41,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:44,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:44,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:51,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:42:51,,,,,,0.0,,,,69.0,True,100.0,3015.0,,,,
2019-07-13 19:42:58,,,,,,0.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:42:58,,,,,,2.0,,,,68.0,True,100.0,3015.0,,,,
2019-07-13 19:44:28,,,,,,2.0,,,,68.0,False,100.0,3015.0,,,,
2019-07-13 19:47:29,online,status,,,,,,,,,,,,,,,
2019-07-13 20:01:04,,,,,21.3,,84.0,1016.1,,,,,,Aveiro (Universidade) @ 2019-07-13T19:00,Este,10.1,0.0
2019-07-13 20:21:57,,,,,26.12,26.0,67.96,1011.0,,,,80.0,2965.0,,,,
2019-07-13 20:21:57,,,,,26.12,26.0,66.38,1011.0,,,,80.0,2965.0,,,,
2019-07-13 20:25:17,,,,,26.08,26.0,66.44,1011.3,,,,80.0,2965.0,,,,
2019-07-13 20:33:14,,,,,,0.0,,,False,,,100.0,3005.0,,,,
2019-07-13 20:33:14,,,,,,0.0,,,False,,,100.0,3005.0,,,,
2019-07-13 20:33:15,,,,,,0.0,,,False,,,100.0,3005.0,,,,
2019-07-13 20:33:15,,,,,,0.0,,,False,,,100.0,3005.0,,,,
2019-07-13 20:33:16,,,,,,0.0,,,False,,,100.0,3005.0,,,,
2019-07-13 20:49:17,online,status,,,,,,,,,,,,,,,
2019-07-13 20:58:44,,,,,26.11,28.0,66.44,1011.3,,,,80.0,2965.0,,,,
2019-07-13 20:58:44,,,,,26.11,28.0,68.71,1011.3,,,,80.0,2965.0,,,,
2019-07-13 20:58:44,,,,,26.11,28.0,68.71,1011.0,,,,80.0,2965.0,,,,
2019-07-13 21:01:04,,,,,20.8,,86.0,1015.6,,,,,,Aveiro (Universidade) @ 2019-07-13T20:00,Nordeste,6.5,0.0
2019-07-13 21:17:58,,,,,26.23,26.0,68.71,1011.0,,,,80.0,2965.0,,,,
2019-07-13 21:17:58,,,,,26.23,28.0,69.02,1011.0,,,,80.0,2965.0,,,,
2019-07-13 21:20:48,,,,,26.22,28.0,69.02,1011.8,,,,80.0,2965.0,,,,
2019-07-13 21:50:49,online,status,,,,,,,,,,,,,,,
2019-07-13 22:01:05,,,,,20.1,,87.0,1015.6,,,,,,Aveiro (Universidade) @ 2019-07-13T21:00,Nordeste,6.8,0.0
2019-07-13 22:13:08,,,,,26.27,26.0,68.26,1011.9,,,,80.0,2965.0,,,,
2019-07-13 22:33:01,online,status,,,,,,,,,,,,,,,
2019-07-13 22:39:19,,,,,26.27,26.0,68.69,1011.9,,,,80.0,2965.0,,,,
2019-07-13 22:39:19,,,,,26.27,23.0,68.69,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:22,,,,,26.54,23.0,68.69,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:22,,,,,26.54,23.0,68.75,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:22,,,,,26.54,23.0,68.75,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:27,,,,,26.54,15.0,68.75,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:27,,,,,26.54,21.0,68.87,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:30,,,,,26.54,23.0,68.87,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:30,,,,,26.54,21.0,68.79,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:30,,,,,26.54,23.0,68.79,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:33,,,,,26.65,21.0,68.79,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:33,,,,,26.65,18.0,68.73,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:36,,,,,26.53,21.0,68.73,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:36,,,,,26.53,21.0,68.57,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:40,,,,,26.55,23.0,68.57,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:40,,,,,26.55,21.0,68.54,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:40,,,,,26.55,21.0,68.54,1011.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:43,,,,,26.5,23.0,68.54,1011.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:43,,,,,26.5,23.0,68.55,1011.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:46,,,,,26.55,15.0,68.55,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:47,,,,,26.55,15.0,68.59,1012.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:50,,,,,26.53,31.0,68.59,1011.0,,,,80.0,2965.0,,,,
2019-07-13 22:39:50,,,,,26.53,31.0,68.56,1011.0,,,,80.0,2965.0,,,,
2019-07-13 22:40:21,,,,,,63.0,,,,18.0,False,100.0,3015.0,,,,
2019-07-13 22:40:23,,,,,,63.0,,,,19.0,False,100.0,3015.0,,,,
2019-07-13 22:40:25,,,,,,63.0,,,,18.0,False,100.0,3015.0,,,,
2019-07-13 22:40:27,,,,,,63.0,,,,18.0,False,100.0,3015.0,,,,
2019-07-13 22:40:30,,,,,,63.0,,,,18.0,False,100.0,3015.0,,,,
2019-07-13 22:40:32,,,,,,63.0,,,,19.0,False,100.0,3015.0,,,,
2019-07-13 22:40:34,,,,,,63.0,,,,17.0,False,100.0,3015.0,,,,
2019-07-13 22:40:35,,,,,,65.0,,,,17.0,False,100.0,3015.0,,,,
2019-07-13 22:40:35,,,,,,63.0,,,,17.0,True,100.0,3015.0,,,,
2019-07-13 22:40:56,,,,,,68.0,,,,17.0,True,100.0,3015.0,,,,
2019-07-13 22:40:58,,,,,,65.0,,,,17.0,True,100.0,3015.0,,,,
2019-07-13 22:41:00,,,,,,68.0,,,,17.0,True,100.0,3015.0,,,,
2019-07-13 22:41:02,,,,,,55.0,,,,8.0,True,100.0,3015.0,,,,
2019-07-13 22:41:04,,,,,,60.0,,,,12.0,True,100.0,3015.0,,,,
2019-07-13 22:41:06,,,,,,65.0,,,,16.0,True,100.0,3015.0,,,,
2019-07-13 22:41:09,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:11,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:13,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:15,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:17,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:19,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:21,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:23,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:25,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:27,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:29,,,,,,63.0,,,,18.0,True,100.0,3015.0,,,,
2019-07-13 22:41:31,,,,,,63.0,,,,17.0,True,100.0,3015.0,,,,
2019-07-13 22:41:33,,,,,,68.0,,,,11.0,True,100.0,3015.0,,,,
2019-07-13 22:41:35,,,,,,52.0,,,,7.0,True,100.0,3015.0,,,,
2019-07-13 22:41:37,,,,,,65.0,,,,16.0,True,100.0,3015.0,,,,
2019-07-13 22:41:39,,,,,,63.0,,,,15.0,True,100.0,3015.0,,,,
2019-07-13 22:41:41,,,,,,63.0,,,,16.0,True,100.0,3015.0,,,,
2019-07-13 22:41:43,,,,,,36.0,,,,56.0,True,100.0,3015.0,,,,
2019-07-13 22:41:45,,,,,,0.0,,,,39.0,True,100.0,3015.0,,,,
2019-07-13 22:41:47,,,,,,0.0,,,,0.0,True,100.0,3015.0,,,,
2019-07-13 22:41:49,,,,,,0.0,,,,87.0,True,100.0,3015.0,,,,
2019-07-13 22:41:53,,,,,,0.0,,,,0.0,True,100.0,3015.0,,,,
2019-07-13 22:41:55,,,,,,0.0,,,,44.0,True,100.0,3015.0,,,,
2019-07-13 22:42:05,,,,,,63.0,,,,44.0,False,100.0,3015.0,,,,
2019-07-13 23:00:45,,,,,26.02,18.0,68.56,1012.0,,,,80.0,2965.0,,,,
2019-07-13 23:00:45,,,,,26.02,15.0,69.17,1011.0,,,,80.0,2965.0,,,,
2019-07-13 23:01:04,,,,,19.6,,89.0,1016.1,,,,,,Aveiro (Universidade) @ 2019-07-13T22:00,Nordeste,3.2,0.0
2019-07-13 23:30:09,,,,,25.87,18.0,69.64,1011.8,,,,80.0,2965.0,,,,
2019-07-13 23:35:10,online,status,,,,,,,,,,,,,,,
2019-07-14 00:01:04,,,,,19.2,,93.0,1016.3,,,,,,Aveiro (Universidade) @ 2019-07-13T23:00,Sudeste,1.4,0.0
2019-07-14 00:22:09,,,,,25.7,21.0,70.48,1011.7,,,,68.0,2945.0,,,,
2019-07-14 00:37:10,online,status,,,,,,,,,,,,,,,
2019-07-14 01:01:05,,,,,19.6,,89.0,1016.2,,,,,,Aveiro (Universidade) @ 2019-07-14T00:00,Norte,4.0,0.0
2019-07-14 01:19:00,,,,,25.74,21.0,71.24,1011.7,,,,68.0,2945.0,,,,
2019-07-14 01:39:01,online,status,,,,,,,,,,,,,,,
2019-07-14 01:41:15,,,,,25.74,21.0,71.24,1011.7,,,,68.0,2945.0,,,,
2019-07-14 01:41:15,,,,,25.74,21.0,71.37,1011.0,,,,68.0,2945.0,,,,
2019-07-14 02:01:05,,,,,19.7,,87.0,1016.0,,,,,,Aveiro (Universidade) @ 2019-07-14T01:00,Noroeste,2.2,0.0
2019-07-14 02:02:39,,,,,25.73,21.0,71.37,1011.0,,,,68.0,2945.0,,,,
2019-07-14 02:02:39,,,,,25.73,21.0,71.56,1011.0,,,,68.0,2945.0,,,,
2019-07-14 02:02:39,,,,,25.73,21.0,71.56,1011.0,,,,68.0,2945.0,,,,
2019-07-14 02:15:01,,,,,25.71,21.0,71.55,1011.2,,,,74.0,2955.0,,,,
2019-07-14 02:41:02,online,status,,,,,,,,,,,,,,,
2019-07-14 02:53:19,,,,,25.7,21.0,71.55,1011.2,,,,74.0,2955.0,,,,
2019-07-14 02:53:19,,,,,25.7,21.0,71.66,1011.2,,,,74.0,2955.0,,,,
2019-07-14 02:53:19,,,,,25.7,21.0,71.66,1011.0,,,,74.0,2955.0,,,,
2019-07-14 03:01:04,,,,,20.0,,82.0,1016.0,,,,,,Aveiro (Universidade) @ 2019-07-14T02:00,Noroeste,3.2,0.0
2019-07-14 03:11:52,,,,,25.69,21.0,71.71,1010.9,,,,74.0,2955.0,,,,
2019-07-14 03:22:15,,,,,25.64,21.0,71.71,1010.9,,,,74.0,2955.0,,,,
2019-07-14 03:22:15,,,,,25.64,21.0,71.72,1010.9,,,,74.0,2955.0,,,,
2019-07-14 03:42:16,online,status,,,,,,,,,,,,,,,
2019-07-14 04:01:05,,,,,20.0,,84.0,1015.6,,,,,,Aveiro (Universidade) @ 2019-07-14T03:00,Este,2.9,0.0
2019-07-14 04:09:14,,,,,25.57,21.0,71.82,1010.8,,,,74.0,2955.0,,,,
2019-07-14 04:44:15,online,status,,,,,,,,,,,,,,,
2019-07-14 05:01:05,,,,,19.8,,85.0,1015.2,,,,,,Aveiro (Universidade) @ 2019-07-14T04:00,Nordeste,2.2,0.0
2019-07-14 05:04:14,,,,,25.55,21.0,71.98,1010.9,,,,74.0,2955.0,,,,
2019-07-14 05:26:39,,,,,25.48,21.0,71.98,1010.9,,,,74.0,2955.0,,,,
2019-07-14 05:26:39,,,,,25.48,21.0,72.21,1010.9,,,,74.0,2955.0,,,,
2019-07-14 05:45:40,online,status,,,,,,,,,,,,,,,
