date,temperature,illuminance,occupancy,humidity,contact,feedback,linkquality
2019-02-13 06:54:38.835000+00:00,17.42,,,53.71,,,
2019-02-13 06:54:38.887000+00:00,17.42,,,53.65,,,
2019-02-13 07:00:05.070000+00:00,8.8,,,64.0,,,
2019-02-13 07:20:35.581000+00:00,17.42,,,53.65,,,
2019-02-13 08:00:04.947000+00:00,8.2,,,66.0,,,
2019-02-13 08:03:37.057000+00:00,17.38,,,53.41,,,
2019-02-13 08:03:37.058000+00:00,17.38,,,52.9,,,
2019-02-13 08:03:37.080000+00:00,17.38,,,52.9,,,
2019-02-13 08:15:10.222000+00:00,17.38,,,52.9,,,
2019-02-13 08:15:10.223000+00:00,17.42,,,52.96,,,
2019-02-13 09:00:04.922000+00:00,7.6,,,67.0,,,
2019-02-13 09:11:24.888000+00:00,17.42,,,52.96,,,
2019-02-13 09:11:24.889000+00:00,17.49,,,53.8,,,
2019-02-13 10:00:04.845000+00:00,9.1,,,63.0,,,
2019-02-13 10:04:38.881000+00:00,17.49,,,53.8,,,
2019-02-13 10:04:38.883000+00:00,17.54,,,54.99,,,
2019-02-13 10:05:09.755000+00:00,17.54,,,54.99,,,
2019-02-13 10:05:09.756000+00:00,17.54,,,54.95,,,
2019-02-13 10:05:09.776000+00:00,17.54,,,54.95,,,
2019-02-13 10:41:38.973000+00:00,17.66,,,54.95,,,
2019-02-13 10:41:39.028000+00:00,17.66,,,56.32,,,
2019-02-13 10:57:13.049000+00:00,17.66,,,56.32,,,
2019-02-13 10:57:13.050000+00:00,17.66,,,55.8,,,
2019-02-13 11:00:04.741000+00:00,11.6,,,56.0,,,
2019-02-13 11:52:47.583000+00:00,17.66,,,55.8,,,
2019-02-13 11:52:47.584000+00:00,17.7,,,55.87,,,
2019-02-13 12:00:04.724000+00:00,14.3,,,52.0,,,
2019-02-13 12:09:02.377000+00:00,17.75,,,55.87,,,
2019-02-13 12:09:02.395000+00:00,17.75,,,55.12,,,
2019-02-13 12:09:02.396000+00:00,17.75,,,55.12,,,
2019-02-13 12:30:17.870000+00:00,17.88,,,55.12,,,
2019-02-13 12:30:17.930000+00:00,17.88,,,57.66,,,
2019-02-13 12:30:17.931000+00:00,17.88,,,57.66,,,
2019-02-13 12:50:23.121000+00:00,18.0,,,57.66,,,
2019-02-13 12:50:23.179000+00:00,18.0,,,57.34,,,
2019-02-13 12:50:43.400000+00:00,18.0,,,57.34,,,
2019-02-13 12:50:43.401000+00:00,18.03,,,57.34,,,
2019-02-13 13:00:04.614000+00:00,16.9,,,46.0,,,
2019-02-13 13:06:38.045000+00:00,18.05,,,57.34,,,
2019-02-13 13:06:38.111000+00:00,18.05,,,57.3,,,
2019-02-13 13:06:38.112000+00:00,18.05,,,57.3,,,
2019-02-13 13:24:12.576000+00:00,18.07,,,57.3,,,
2019-02-13 13:24:12.598000+00:00,18.07,,,56.99,,,
2019-02-13 13:24:12.599000+00:00,18.07,,,56.99,,,
2019-02-13 13:43:17.635000+00:00,18.03,,,56.99,,,
2019-02-13 13:43:17.691000+00:00,18.03,,,56.71,,,
2019-02-13 13:43:17.692000+00:00,18.03,,,56.71,,,
2019-02-13 13:48:59.290000+00:00,18.03,,,56.71,,,
2019-02-13 14:00:05.530000+00:00,18.5,,,44.0,,,
2019-02-13 14:04:33.790000+00:00,18.03,,,56.72,,,
2019-02-13 14:04:33.791000+00:00,18.03,,,56.9,,,
2019-02-13 14:04:33.849000+00:00,18.03,,,56.9,,,
2019-02-13 14:49:14.960000+00:00,18.03,,,56.9,,,
2019-02-13 15:00:05.585000+00:00,19.4,,,39.0,,,
2019-02-13 15:14:41.907000+00:00,18.53,,,57.11,,,
2019-02-13 15:14:41.955000+00:00,18.53,,,56.9,,,
2019-02-13 15:43:19.070000+00:00,18.53,,,56.9,,,
2019-02-13 15:55:32.786000+00:00,19.04,,,56.27,,,
2019-02-13 15:55:32.847000+00:00,19.04,,,56.0,,,
2019-02-13 16:00:05.531000+00:00,18.8,,,52.0,,,
2019-02-13 16:34:12.323000+00:00,19.21,,,55.64,,,
2019-02-13 17:00:05.426000+00:00,17.9,,,56.0,,,
2019-02-13 17:27:05.565000+00:00,19.29,,,55.4,,,
2019-02-13 17:36:18.489000+00:00,19.04,,,55.12,,,
2019-02-13 17:36:18.550000+00:00,19.04,,,55.21,,,
2019-02-13 18:00:05.828000+00:00,17.2,,,52.0,,,
2019-02-13 18:18:59.040000+00:00,19.04,,,55.21,,,
2019-02-13 18:26:11.522000+00:00,18.71,,,55.89,,,
2019-02-13 18:26:11.580000+00:00,18.71,,,56.17,,,
2019-02-13 19:00:04.819000+00:00,15.6,,,57.0,,,
2019-02-13 19:16:13.832000+00:00,18.6,,,56.82,,,
2019-02-13 19:16:14.038000+00:00,18.6,,,56.82,,,
2019-02-13 19:18:04.467000+00:00,18.6,,,56.82,,,
2019-02-13 19:18:04.468000+00:00,18.57,,,56.79,,,
2019-02-13 20:00:04.704000+00:00,13.7,,,72.0,,,
2019-02-13 20:17:59.719000+00:00,18.57,,,56.79,,,
